Title,Title_URL
Following a Select Statement Through Postgres Internals (2014),http://patshaughnessy.net/2014/10/13/following-a-select-statement-through-postgres-internals
Maps Showing Where FBI Planes Are Watching from Above,http://www.buzzfeed.com/peteraldhous/spies-in-the-skies
Pwncloud ? Bad crypto in the Owncloud encryption module,https://blog.hboeck.de/archives/880-Pwncloud-bad-crypto-in-the-Owncloud-encryption-module.html
The Future Google Rackspace Power9 System,http://www.nextplatform.com/2016/04/06/inside-future-google-rackspace-power9-system/
Performance Culture,http://joeduffyblog.com/2016/04/10/performance-culture/
GCHQ 'intervened' over Harry Potter leak,http://www.bbc.co.uk/news/entertainment-arts-36010426
What if the problem of poverty is that it?s profitable to other people?,http://www.theguardian.com/books/2016/apr/07/evicted-poverty-and-profit-in-the-american-city-matthew-desmond-review
Blogless ? An articles-only publishing system for web writers,http://blogless.datenbrei.de/
Meet the bughunters: the hackers in India protecting your data,http://www.theguardian.com/world/2016/apr/02/meet-the-bughunters-the-hackers-in-india-protecting-your-facebook-profile
How Scams Worked in the 1800s,http://www.npr.org/sections/npr-history-dept/2015/02/12/385310877/how-scams-worked-in-the-1800s
Flexport is hiring account execs in our NYC office,https://flexport.com/careers
Top Hacker News Submissions by Year: 2009?2015,https://github.com/antontarasenko/smq/blob/master/reports/hackernews-top-submissions-by-year.md
Algorithmically generated prior art,http://allpriorart.com/about/
Your Life,http://some1else.github.io/life/
Strategic Scala Style: Principle of Least Power,http://www.lihaoyi.com/post/StrategicScalaStylePrincipleofLeastPower.html
Who will pay Puerto Rico's pensions?,http://www.reuters.com/investigates/special-report/usa-puertorico-pensions/
"Economists Adding Up at Amazon.com, Microsoft, Google",http://www.investors.com/news/technology/amazon-microsoft-among-techs-that-say-employing-economists-adds-up/
Sample workflow for LP digitization,http://manual.audacityteam.org/o/man/sample_workflow_for_lp_digitization.html
Freelance Pilots,http://romansnitko.com/blog/freelance-pilots.html
Stdio or iostreams? ? A Modest Alternative for C++,http://steved-imaginaryreal.blogspot.com/2016/04/stdio-or-iostreams-modest-alternative.html
Analyzing the names of almost every Chinese restaurant in the U.S.,https://www.washingtonpost.com/news/wonk/wp/2016/04/08/we-analyzed-the-names-of-almost-every-chinese-restaurant-in-america-this-is-what-we-learned/
Ammonia Is the Everest Base Camp for Clean Energy,http://thebreakthrough.org/issues/decarbonization/ammonia-is-everest-base-camp-for-clean-energy
Pelikan: Twitter's unified cache back end,http://twitter.github.io/pelikan/
'Google Hobbies' proof of concept,https://blog.prototypr.io/google-hobbies-a-retrospective-on-a-new-feature-to-help-google-users-find-and-learn-new-skills-650947f0be#.c0si6ns7l
Notes on 'Decisive: How to Make Better Choices in Life and Work',http://scattered-thoughts.net/blog/2016/04/10/notes-on-decisive-how-to-make-better-choices-in-life-and-work/
"Network Monitoring, Moral Hazards and Crumple Zones",http://etherealmind.com/network-monitoring-moral-hazards-and-crumple-zones/
A Wild Way to Save the Planet,https://newrepublic.com/article/130791/wild-way-save-planet
QML for the Web,https://github.com/qmlweb/qmlweb
Airbus thinks it has found a way to alleviate jet lag,http://www.economist.com/blogs/gulliver/2016/04/thatll-be-day?fsrc=scn/fb/te/bl/ed/thatllbethedayairbusthinksithasfoundawaytoalleviatejetlag
Why volatile is hard to specify and implement,http://kristerw.blogspot.com/2016/04/why-volatile-is-hard-to-specify-and.html
More,https://news.ycombinator.com/news?p=2
